qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
6000	5999.994	100	400000	0	93628791	24345227	1498706	0	0	0	0	0.005339	0.004342	0.010189	0.011984	0.016092	0.029925	0.089125	0.193626	327298	72702	0	1.04E+11	1.04E+11	34314.63724	5.395065768	34.54663116
6000	5999.994	100	400000	0	93628762	24345223	1498706	0	0	0	0	0.005344	0.004346	0.010191	0.011982	0.016094	0.030257	0.088334	0.223855	327299	72701	0	1.04E+11	1.04E+11	33976.75878	5.521969002	34.46344255
6000	5999.99	100	400000	0	93628817	24345235	1498708	0	0	0	0	0.005323	0.004333	0.010174	0.011955	0.016032	0.029939	0.088109	0.197381	327300	72700	0	1.04E+11	1.04E+11	33759.21559	5.49527184	34.17384853
AVG	5999.992	100	400000	0	93628790	24345228	1498707	0	0	0	0	0.005335	0.00434	0.010185	0.011974	0.016073	0.03004	0.088523	0.204954	327299	72701	0	1.04E+11	1.04E+11	34016.87053	5.47076887	34.39464074
qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
7000	6999.992	100	400000	0	93628805	24345238	1498706	0	0	0	0	0.005533	0.004479	0.010552	0.012468	0.017017	0.031874	0.093241	0.205917	327298	72702	0	1.04E+11	1.04E+11	40596.23234	6.739489611	41.34537525
7000	6999.99	100	400000	0	93628798	24345226	1498705	0	0	0	0	0.005514	0.004472	0.010514	0.012424	0.01683	0.031339	0.097413	0.209144	327297	72703	0	1.04E+11	1.04E+11	40608.52651	6.672286609	42.59392089
7000	6999.986	100	400000	0	93628838	24345225	1498707	0	0	0	0	0.005508	0.004463	0.010516	0.012426	0.016947	0.031505	0.091156	0.22001	327299	72701	0	1.04E+11	1.04E+11	40261.35251	6.599865206	42.10171254
AVG	6999.989	100	400000	0	93628814	24345230	1498706	0	0	0	0	0.005518	0.004471	0.010527	0.012439	0.016931	0.031573	0.093937	0.21169	327298	72702	0	1.04E+11	1.04E+11	40488.70378	6.670547142	42.01366956
qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
10200	10183.79	99.84125	399365	0	93459717	24304044	1496357	0	635	0	0	0.009665	0.008045	0.018327	0.021651	0.029938	0.054412	0.119331	0.331696	326774	73226	0	1.04E+11	1.04E+11	58481.19173	11.49675477	86.49929883
10200	10186.02	99.86325	399453	0	93488972	24305797	1496635	0	547	0	0	0.009482	0.007845	0.017986	0.021346	0.029564	0.053778	0.118147	0.344543	326847	73153	0	1.04E+11	1.04E+11	58513.0656	11.23018801	89.7754925
10200	10183.94	99.84275	399371	0	93492420	24311407	1496306	0	629	0	0	0.009696	0.008117	0.018371	0.021671	0.029808	0.053631	0.119105	0.329866	326765	73235	0	1.04E+11	1.04E+11	56501.59657	11.40553499	86.24796191
AVG	10184.58	99.849083	399396.3	0	93480370	24307083	1496433	0	603.6667	0	0	0.009614	0.008002	0.018228	0.021556	0.02977	0.05394	0.118861	0.335368	326795.3	73204.67	0	1.04E+11	1.04E+11	57831.9513	11.37749259	87.50758441
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
mpi_1115_2shards	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Step Capacity	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
6000	5993.359	99.8895	399558	0	1.46E+08	39816953	1506337	0	442	0	0	0.006971	0.005566	0.013263	0.016149	0.022299	0.037415	0.100719	0.167513	326242	73758	0	1.04E+11	1.04E+11	57832.48149	9.786171944	79.14958415
6100	6089.933	99.83525	399341	0	1.46E+08	39795546	1505502	0	659	0	0	0.007074	0.005666	0.01345	0.016336	0.022603	0.037929	0.101473	0.176816	326059	73941	0	1.04E+11	1.04E+11	56919.74327	10.07498624	78.95978027
6200	6176.801	99.626	398504	0	1.46E+08	39715523	1502465	0	1496	0	0	0.007414	0.005998	0.014004	0.016993	0.023416	0.039042	0.101949	0.171499	325408	74592	0	1.04E+11	1.04E+11	58132.25578	10.4197489	83.16272624
6300	6265.295	99.44925	397797	0	1.46E+08	39632645	1499625	0	2203	0	0	0.007598	0.006194	0.01427	0.017286	0.023803	0.040356	0.102014	0.183478	324789	75211	0	1.04E+11	1.04E+11	59971.85409	10.51023835	84.5833493
6400	6335.701	98.9955	395982	0	1.45E+08	39433067	1493159	0	4018	0	0	0.007879	0.006478	0.014677	0.017733	0.024514	0.041619	0.102881	0.175767	323368	76632	0	1.04E+11	1.04E+11	59017.44233	10.75623807	85.64144503
6500	6412.597	98.6555	394622	0	1.44E+08	39298741	1487594	0	5378	0	0	0.008125	0.006847	0.015002	0.018114	0.024876	0.042579	0.101839	0.175701	322194	77806	0	1.04E+11	1.04E+11	61591.8004	11.46517818	87.6820808
6600	6479.591	98.17575	392703	0	1.44E+08	39089477	1480591	0	7297	0	0	0.008321	0.007	0.015266	0.018373	0.025292	0.042894	0.102958	0.175068	320656	79344	0	1.04E+11	1.04E+11	62205.59971	11.2066899	89.77709586
6700	3511.431	52.4095	209638	172546	75985389	20761497	787733	0	17816	0	0	0.009969	0.008571	0.017799	0.021503	0.029616	0.049144	0.104576	0.171627	170510	229490	0	1.04E+11	1.04E+11	33266.48156	5.358811404	93.34655265
6800	6553.742	96.37875	385515	0	1.41E+08	38367910	1453614	0	14485	0	0	0.008969	0.007663	0.016077	0.019213	0.026369	0.045045	0.103876	0.174812	314806	85194	0	1.04E+11	1.04E+11	62466.89911	11.36253495	92.77807202
6900	6587.28	95.468	381872	0	1.39E+08	37965076	1439810	0	18128	0	0	0.009215	0.007907	0.016342	0.019519	0.026969	0.045589	0.103865	0.18201	311837	88163	0	1.04E+11	1.04E+11	63367.31916	11.59869631	94.15294689
7000	6592.955	94.18525	376741	0	1.37E+08	37470123	1420446	0	23259	0	0	0.009513	0.008216	0.016662	0.019857	0.027141	0.046157	0.103494	0.177509	307617	92383	0	1.04E+11	1.04E+11	62080.9905	11.95139542	92.03291608
